link_stats_id, link_id, timestamp, PacketsReceived, PacketsSent, BytesReceived, BytesSent, PacketsRxDropped, PacketsTxDropped, PacketsRxErrors, PacketsTxErrors
of:0000000000000024_1_2024-08-05 14:10:42,of:0000000000000024_1,2024-08-05 14:10:42,3715648.0,3713687.0,391449320.0,392242886.0,0.0,0.0,0.0,0.0
of:0000000000000024_2_2024-08-05 14:10:42,of:0000000000000024_2,2024-08-05 14:10:42,1415425.0,2301303.0,134287074.0,258118630.0,0.0,0.0,0.0,0.0
of:0000000000000024_3_2024-08-05 14:10:42,of:0000000000000024_3,2024-08-05 14:10:42,1414814.0,2300728.0,134244948.0,258078660.0,0.0,0.0,0.0,0.0
of:0000000000000002_1_2024-08-05 14:10:42,of:0000000000000002_1,2024-08-05 14:10:42,30606796.0,30607805.0,2959580145.0,2959627637.0,0.0,0.0,0.0,0.0
of:0000000000000002_2_2024-08-05 14:10:42,of:0000000000000002_2,2024-08-05 14:10:42,40522714.0,40542128.0,3919525833.0,3947889031.0,0.0,0.0,0.0,0.0
of:0000000000000002_3_2024-08-05 14:10:42,of:0000000000000002_3,2024-08-05 14:10:42,13660690.0,13644364.0,1395851912.0,1368943654.0,0.0,0.0,0.0,0.0
of:0000000000000002_4_2024-08-05 14:10:42,of:0000000000000002_4,2024-08-05 14:10:42,3713925.0,3716034.0,392260190.0,391478496.0,0.0,0.0,0.0,0.0
of:0000000000000002_5_2024-08-05 14:10:42,of:0000000000000002_5,2024-08-05 14:10:42,3713934.0,3716044.0,392258776.0,391478132.0,0.0,0.0,0.0,0.0
of:0000000000000002_6_2024-08-05 14:10:42,of:0000000000000002_6,2024-08-05 14:10:42,3713915.0,3716032.0,392257838.0,391476788.0,0.0,0.0,0.0,0.0
of:0000000000000002_7_2024-08-05 14:10:42,of:0000000000000002_7,2024-08-05 14:10:42,3714194.0,3716335.0,392270480.0,391489402.0,0.0,0.0,0.0,0.0
of:0000000000000002_8_2024-08-05 14:10:42,of:0000000000000002_8,2024-08-05 14:10:42,3726610.0,3727820.0,411176290.0,409044384.0,0.0,0.0,0.0,0.0
of:0000000000000007_1_2024-08-05 14:10:42,of:0000000000000007_1,2024-08-05 14:10:42,27710293.0,27690937.0,2716803303.0,2689765435.0,0.0,0.0,0.0,0.0
of:0000000000000007_2_2024-08-05 14:10:42,of:0000000000000007_2,2024-08-05 14:10:42,9385890.0,9405912.0,949415905.0,975618233.0,0.0,0.0,0.0,0.0
of:0000000000000007_3_2024-08-05 14:10:42,of:0000000000000007_3,2024-08-05 14:10:42,10704904.0,10706807.0,1059832508.0,1059032978.0,0.0,0.0,0.0,0.0
of:0000000000000007_4_2024-08-05 14:10:42,of:0000000000000007_4,2024-08-05 14:10:42,9368763.0,9370648.0,928942518.0,928145060.0,0.0,0.0,0.0,0.0
of:0000000000000008_1_2024-08-05 14:10:42,of:0000000000000008_1,2024-08-05 14:10:42,17888809.0,17873408.0,1771735586.0,1751399847.0,0.0,0.0,0.0,0.0
of:0000000000000008_2_2024-08-05 14:10:42,of:0000000000000008_2,2024-08-05 14:10:42,2299091.0,2313887.0,258009781.0,276125456.0,0.0,0.0,0.0,0.0
of:0000000000000008_3_2024-08-05 14:10:42,of:0000000000000008_3,2024-08-05 14:10:42,9386584.0,9376676.0,946909830.0,928561462.0,0.0,0.0,0.0,0.0
of:0000000000000008_4_2024-08-05 14:10:42,of:0000000000000008_4,2024-08-05 14:10:42,7956305.0,7971051.0,794902400.0,813014870.0,0.0,0.0,0.0,0.0
of:0000000000000005_1_2024-08-05 14:10:42,of:0000000000000005_1,2024-08-05 14:10:42,16457516.0,16455760.0,1617065904.0,1616983144.0,0.0,0.0,0.0,0.0
of:0000000000000005_2_2024-08-05 14:10:42,of:0000000000000005_2,2024-08-05 14:10:42,7968249.0,7958549.0,811565520.0,794113591.0,0.0,0.0,0.0,0.0
of:0000000000000005_3_2024-08-05 14:10:42,of:0000000000000005_3,2024-08-05 14:10:42,9371286.0,9385217.0,929142488.0,945915377.0,0.0,0.0,0.0,0.0
of:0000000000000005_4_2024-08-05 14:10:42,of:0000000000000005_4,2024-08-05 14:10:42,3713974.0,3716108.0,392256004.0,391473430.0,0.0,0.0,0.0,0.0
of:0000000000000027_1_2024-08-05 14:10:42,of:0000000000000027_1,2024-08-05 14:10:42,3715687.0,3726490.0,391458309.0,411155390.0,0.0,0.0,0.0,0.0
of:0000000000000027_2_2024-08-05 14:10:42,of:0000000000000027_2,2024-08-05 14:10:42,1415221.0,2301091.0,134276714.0,258108578.0,0.0,0.0,0.0,0.0
of:0000000000000027_3_2024-08-05 14:10:42,of:0000000000000027_3,2024-08-05 14:10:42,1427822.0,2300982.0,153167882.0,258097911.0,0.0,0.0,0.0,0.0
of:0000000000000006_1_2024-08-05 14:10:42,of:0000000000000006_1,2024-08-05 14:10:42,13644355.0,13660681.0,1368942828.0,1395851086.0,0.0,0.0,0.0,0.0
of:0000000000000006_2_2024-08-05 14:10:42,of:0000000000000006_2,2024-08-05 14:10:42,3713613.0,3727568.0,392248661.0,409019876.0,0.0,0.0,0.0,0.0
of:0000000000000006_3_2024-08-05 14:10:42,of:0000000000000006_3,2024-08-05 14:10:42,3757847.0,3716326.0,457111526.0,391517029.0,0.0,0.0,0.0,0.0
of:0000000000000006_4_2024-08-05 14:10:42,of:0000000000000006_4,2024-08-05 14:10:42,7957848.0,7973684.0,794916717.0,814402477.0,0.0,0.0,0.0,0.0
of:0000000000000028_1_2024-08-05 14:10:42,of:0000000000000028_1,2024-08-05 14:10:42,7879373.0,7877475.0,790701306.0,791498722.0,0.0,0.0,0.0,0.0
of:0000000000000028_2_2024-08-05 14:10:42,of:0000000000000028_2,2024-08-05 14:10:42,1415099.0,2300963.0,134270722.0,258102138.0,0.0,0.0,0.0,0.0
of:0000000000000028_3_2024-08-05 14:10:42,of:0000000000000028_3,2024-08-05 14:10:42,5578931.0,6464794.0,533517290.0,657347152.0,0.0,0.0,0.0,0.0
of:0000000000000009_1_2024-08-05 14:10:42,of:0000000000000009_1,2024-08-05 14:10:42,7958549.0,7968249.0,794113591.0,811565520.0,0.0,0.0,0.0,0.0
of:0000000000000009_2_2024-08-05 14:10:42,of:0000000000000009_2,2024-08-05 14:10:42,1426987.0,2300777.0,151830078.0,257206523.0,0.0,0.0,0.0,0.0
of:0000000000000009_3_2024-08-05 14:10:42,of:0000000000000009_3,2024-08-05 14:10:42,5657831.0,6543444.0,536910190.0,659839866.0,0.0,0.0,0.0,0.0
of:000000000000000c_1_2024-08-05 14:11:42,of:000000000000000c_1,2024-08-05 14:11:42,3727732.0,3713777.0,409037058.0,392265881.0,0.0,0.0,0.0,0.0
of:000000000000000c_2_2024-08-05 14:11:42,of:000000000000000c_2,2024-08-05 14:11:42,1415032.0,2301142.0,134265584.0,258115704.0,0.0,0.0,0.0,0.0
of:000000000000000c_3_2024-08-05 14:11:42,of:000000000000000c_3,2024-08-05 14:11:42,1415261.0,2313193.0,134284197.0,275688010.0,0.0,0.0,0.0,0.0
of:000000000000000d_1_2024-08-05 14:11:42,of:000000000000000d_1,2024-08-05 14:11:42,3716485.0,3758006.0,391533945.0,457128480.0,0.0,0.0,0.0,0.0
